Game,Category,URL
SM64,0Star,https://youtu.be/ToC7Wc0bvqs
SM64,1Star,https://youtu.be/uQsp2AWgcyo
SM64,16Star,https://youtu.be/1_vkwkniHuI
SM64,70Star,https://youtu.be/hY0SFrAnA1Q
SM64,120Star,https://youtu.be/JoX7RDKRG7Q
BotW,Any%,https://youtu.be/0KaX5dVFszk
BotW,AllDungeons,https://youtu.be/ti9LhJLCilo
BotW,AllMainQuests,https://youtu.be/SRtJ_FzlzVs
BotW,AllShrines,https://youtu.be/J91C4ZkthDM
BotW,100%,"https://youtu.be/2QvoRZejf9s, https://youtu.be/PDjyRXZ_sek"
TotK,Any%,https://youtu.be/omrMebkHYAc
TotK,AllDungeons,https://youtu.be/7rMDI2mIALQ
TotK,AllMainQuests,https://youtu.be/5b4TXHR85BA
TotK,AllShrines,https://youtu.be/ux_c4WOiYnk
TotK,100%,"https://youtu.be/mcjyerhDG1c, https://youtu.be/g9ctQTzu4Vk, https://youtu.be/qOzg0st0KfY, https://youtu.be/oWZuaFW2Io0, https://youtu.be/R-3Z0KL7QiU, https://youtu.be/T7TltPPxfCM, https://youtu.be/vzbVFoKg8eM"
