Data_name,within-title_SM64,within-title_BotW,within-title_TotK,cross-title_BotW,cross-title_TotK
Data01,train,ignore,ignore,train,ignore
Data02,ignore,train,ignore,ignore,train
Data03,ignore,ignore,ignore,ignore,ignore
Data04,ignore,ignore,ignore,ignore,ignore
Data05,ignore,test,ignore,test,ignore
Data06,ignore,ignore,ignore,ignore,ignore
Data07,ignore,train,ignore,ignore,train
Data08,ignore,train,ignore,ignore,train
Data09,ignore,train,ignore,ignore,train
Data10,ignore,train,ignore,ignore,train
Data11,ignore,test,ignore,test,ignore
Data12,ignore,train,ignore,ignore,train
Data13,ignore,train,ignore,ignore,train
Data14,ignore,ignore,ignore,ignore,ignore
Data15,ignore,train,ignore,ignore,train
Data16,ignore,validation,ignore,ignore,validation
Data17,ignore,validation,ignore,ignore,validation
Data18,ignore,train,ignore,ignore,train
Data19,ignore,ignore,ignore,ignore,ignore
Data20,ignore,ignore,ignore,ignore,ignore
Data21,ignore,ignore,ignore,ignore,ignore
Data22,ignore,train,ignore,ignore,train
Data23,ignore,train,ignore,ignore,train
Data24,ignore,ignore,ignore,ignore,ignore
Data25,ignore,ignore,train,ignore,ignore
Data26,ignore,ignore,ignore,ignore,ignore
Data27,ignore,ignore,test,ignore,test
Data28,ignore,ignore,ignore,ignore,ignore
Data29,ignore,ignore,ignore,ignore,ignore
Data30,ignore,ignore,ignore,ignore,ignore
Data31,ignore,ignore,ignore,ignore,ignore
Data32,ignore,ignore,train,ignore,ignore
Data33,ignore,ignore,train,ignore,ignore
Data34,ignore,ignore,ignore,ignore,ignore
Data35,ignore,ignore,ignore,ignore,ignore
Data36,ignore,ignore,ignore,ignore,ignore
Data37,ignore,ignore,train,ignore,ignore
Data38,ignore,ignore,ignore,ignore,ignore
Data39,ignore,ignore,ignore,ignore,ignore
Data40,ignore,ignore,ignore,ignore,ignore
Data41,ignore,ignore,ignore,ignore,ignore
Data42,ignore,ignore,ignore,ignore,ignore
Data43,ignore,ignore,train,ignore,ignore
Data44,ignore,ignore,train,ignore,ignore
Data45,ignore,ignore,train,ignore,ignore
Data46,ignore,ignore,ignore,ignore,ignore
Data47,ignore,ignore,ignore,ignore,ignore
Data48,ignore,ignore,train,ignore,ignore
Data49,ignore,ignore,train,ignore,ignore
Data50,ignore,ignore,test,ignore,test
Data51,ignore,ignore,ignore,ignore,ignore
Data52,ignore,ignore,train,ignore,ignore
Data53,ignore,ignore,train,ignore,ignore
Data54,ignore,ignore,ignore,ignore,ignore
Data55,ignore,ignore,ignore,ignore,ignore
Data56,ignore,ignore,ignore,ignore,ignore
Data57,ignore,ignore,validation,ignore,ignore
Data58,ignore,ignore,validation,ignore,ignore
Data59,ignore,ignore,train,ignore,ignore
Data60,ignore,ignore,ignore,ignore,ignore
Data61,ignore,ignore,ignore,ignore,ignore
Data62,ignore,ignore,ignore,ignore,ignore
Data63,ignore,ignore,train,ignore,ignore
Data64,ignore,ignore,ignore,ignore,ignore
Data65,ignore,ignore,ignore,ignore,ignore
Data66,train,ignore,ignore,train,ignore
Data67,ignore,train,ignore,ignore,train
Data68,ignore,ignore,ignore,ignore,ignore
Data69,ignore,ignore,train,ignore,ignore
Data70,validation,ignore,ignore,validation,ignore
Data71,train,ignore,ignore,train,ignore
Data72,test,ignore,ignore,ignore,ignore
