from https://youtu.be/SRtJ_FzlzVs?t=13214 to https://youtu.be/SRtJ_FzlzVs?t=17274,,,,,,,,
start_time,end_time,reason,,,,,,
https://youtu.be/SRtJ_FzlzVs?si=zVr3A55lec7RqUtL&t=13215,https://youtu.be/SRtJ_FzlzVs?si=lzS9npaOJ32yMxq5&t=13224,キャラクターの挙動が不自然,,,,,https://youtu.be/SRtJ_FzlzVs?si=zVr3A55lec7RqUtL&t=13215,https://youtu.be/SRtJ_FzlzVs?si=lzS9npaOJ32yMxq5&t=13224
https://youtu.be/SRtJ_FzlzVs?si=_tMj6wHquS_K9KcE&t=13246,https://youtu.be/SRtJ_FzlzVs?si=bCzAPbCtw8N8FUGC&t=13262,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=_tMj6wHquS_K9KcE&t=13246,https://youtu.be/SRtJ_FzlzVs?si=bCzAPbCtw8N8FUGC&t=13262
https://youtu.be/SRtJ_FzlzVs?si=WRkSKgbcXHhlJbiZ&t=13329,https://youtu.be/SRtJ_FzlzVs?si=BpgIzyhUdAqRImav&t=13332,キャラクターが大きく飛んでいる,,,,,https://youtu.be/SRtJ_FzlzVs?si=WRkSKgbcXHhlJbiZ&t=13329,https://youtu.be/SRtJ_FzlzVs?si=BpgIzyhUdAqRImav&t=13332
https://youtu.be/SRtJ_FzlzVs?si=sHjUj05y5ayY04om&t=13380,https://youtu.be/SRtJ_FzlzVs?si=x7X58fUftEDY3x0U&t=13382,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=sHjUj05y5ayY04om&t=13380,https://youtu.be/SRtJ_FzlzVs?si=x7X58fUftEDY3x0U&t=13382
https://youtu.be/SRtJ_FzlzVs?si=uhE8pn1WGB2rsGkK&t=13473,https://youtu.be/SRtJ_FzlzVs?si=BuexyVc9bPggSUH2&t=13476,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=uhE8pn1WGB2rsGkK&t=13473,https://youtu.be/SRtJ_FzlzVs?si=BuexyVc9bPggSUH2&t=13476
https://youtu.be/SRtJ_FzlzVs?si=lCnPw89EgEwJ_1ua&t=13499,https://youtu.be/SRtJ_FzlzVs?si=gkXZXW5nggUZKnWT&t=13514,キャラクターが大きく飛び、また飛ぶ時の見た目が不自然だから。,,,,,https://youtu.be/SRtJ_FzlzVs?si=lCnPw89EgEwJ_1ua&t=13499,https://youtu.be/SRtJ_FzlzVs?si=gkXZXW5nggUZKnWT&t=13514
https://youtu.be/SRtJ_FzlzVs?si=5jLnZpVz8WLB3s_K&t=13533,https://youtu.be/SRtJ_FzlzVs?si=paxaOyFCqgrd3sgt&t=13551,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=5jLnZpVz8WLB3s_K&t=13533,https://youtu.be/SRtJ_FzlzVs?si=paxaOyFCqgrd3sgt&t=13551
https://youtu.be/SRtJ_FzlzVs?si=2m2a0eby4OgsY9CH&t=13559,https://youtu.be/SRtJ_FzlzVs?si=sWdOaMbLbDjQYg96&t=13561,壁をすり抜けている,,,,,https://youtu.be/SRtJ_FzlzVs?si=2m2a0eby4OgsY9CH&t=13559,https://youtu.be/SRtJ_FzlzVs?si=sWdOaMbLbDjQYg96&t=13561
https://youtu.be/SRtJ_FzlzVs?si=2Z5a4cOzixCsHcTg&t=13799,https://youtu.be/SRtJ_FzlzVs?si=bEnN7fxaPHkC0xGr&t=13806,キャラクターが大きく飛んでいる。,,,,,https://youtu.be/SRtJ_FzlzVs?si=2Z5a4cOzixCsHcTg&t=13799,https://youtu.be/SRtJ_FzlzVs?si=bEnN7fxaPHkC0xGr&t=13806
https://youtu.be/SRtJ_FzlzVs?si=Ba2muwFpjDL9rsw4&t=13880,https://youtu.be/SRtJ_FzlzVs?si=WCGIdG-dtbkfEhLG&t=13891,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=Ba2muwFpjDL9rsw4&t=13880,https://youtu.be/SRtJ_FzlzVs?si=WCGIdG-dtbkfEhLG&t=13891
https://youtu.be/SRtJ_FzlzVs?si=CkZt8JweyfdrlJpS&t=13969,https://youtu.be/SRtJ_FzlzVs?si=ttoZpOtRYYfJHDov&t=13976,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=CkZt8JweyfdrlJpS&t=13969,https://youtu.be/SRtJ_FzlzVs?si=ttoZpOtRYYfJHDov&t=13976
https://youtu.be/SRtJ_FzlzVs?si=GArs6SsOB8DVVrvl&t=13982,https://youtu.be/SRtJ_FzlzVs?si=eLFsfBqRgYWGqlBI&t=14003,キャラクターの挙動が不自然。,,,,,https://youtu.be/SRtJ_FzlzVs?si=GArs6SsOB8DVVrvl&t=13982,https://youtu.be/SRtJ_FzlzVs?si=eLFsfBqRgYWGqlBI&t=14003
https://youtu.be/SRtJ_FzlzVs?si=fsj3ARTBTWYKKbBL&t=14376,https://youtu.be/SRtJ_FzlzVs?si=IEvNdMiZDG8DGiv-&t=14384,キャラクターが大きく飛んでいる。,,,,,https://youtu.be/SRtJ_FzlzVs?si=fsj3ARTBTWYKKbBL&t=14376,https://youtu.be/SRtJ_FzlzVs?si=IEvNdMiZDG8DGiv-&t=14384
https://youtu.be/SRtJ_FzlzVs?si=205RaAt35ZU9r8oE&t=14439,https://youtu.be/SRtJ_FzlzVs?si=mHFLcWoNgaR5eOiT&t=14445,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=205RaAt35ZU9r8oE&t=14439,https://youtu.be/SRtJ_FzlzVs?si=mHFLcWoNgaR5eOiT&t=14445
