from https://youtu.be/J91C4ZkthDM?t=81… to https://youtu.be/J91C4ZkthDM?t=3681…,,,,,,終了時間
start_time,end_time,reason,start_time,end_time,reason,https://youtu.be/J91C4ZkthDM?t=2695
https://youtu.be/J91C4ZkthDM?t=127,https://youtu.be/J91C4ZkthDM?t=189,直前に目の前の扉が開いたがそこから出ず、恐らく壁である部分から外に出たため。また、その後移動の際に壁にめり込んでいる。ムービーが本来は景色を見回すものだったと思われるが、壁の内部しか見えていない。,https://youtu.be/J91C4ZkthDM?t=132,https://youtu.be/J91C4ZkthDM?t=148,壁を通り抜けていた,
https://youtu.be/J91C4ZkthDM?t=260,https://youtu.be/J91C4ZkthDM?t=265,壁を貫通したため。,https://youtu.be/J91C4ZkthDM?t=264,https://youtu.be/J91C4ZkthDM?t=268,壁を通り抜けていた,
https://youtu.be/J91C4ZkthDM?t=272,https://youtu.be/J91C4ZkthDM?t=298,ツボと弓を同時に持つことができないと思われるが、同時に持ち、空中を移動したため。その後の落下ダメージがないこともバグだと思われる。,https://youtu.be/J91C4ZkthDM?t=282,https://youtu.be/J91C4ZkthDM?t=298,空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=297,https://youtu.be/J91C4ZkthDM?t=302,壁を貫通したため。,https://youtu.be/J91C4ZkthDM?t=359,https://youtu.be/J91C4ZkthDM?t=364,壁を通り抜けて空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=445,https://youtu.be/J91C4ZkthDM?t=458,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=446,https://youtu.be/J91C4ZkthDM?t=458,空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=550,https://youtu.be/J91C4ZkthDM?t=552,落下ダメージをなくしている。,https://youtu.be/J91C4ZkthDM?t=545,https://youtu.be/J91C4ZkthDM?t=553,爆発の勢いで大きく空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=680,https://youtu.be/J91C4ZkthDM?t=708,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=684,https://youtu.be/J91C4ZkthDM?t=706,空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=853,https://youtu.be/J91C4ZkthDM?t=870,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=716,https://youtu.be/J91C4ZkthDM?t=719,爆発の勢いで大きく空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=994,https://youtu.be/J91C4ZkthDM?t=1019,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。また、落下ダメージがなくなっている。,https://youtu.be/J91C4ZkthDM?t=855,https://youtu.be/J91C4ZkthDM?t=869,空を飛んでいた,
