from https://youtu.be/7rMDI2mIALQ?t=3633 to https://youtu.be/7rMDI2mIALQ?t=7233,,
start_time,end_time,reason
https://youtu.be/7rMDI2mIALQ?t=3833,https://youtu.be/7rMDI2mIALQ?t=3852,????????????????????????????????????
https://youtu.be/7rMDI2mIALQ?t=3857,https://youtu.be/7rMDI2mIALQ?t=3906,???????????????????????
https://youtu.be/7rMDI2mIALQ?t=3906,https://youtu.be/7rMDI2mIALQ?t=3927,?????????????
https://youtu.be/7rMDI2mIALQ?t=3936,https://youtu.be/7rMDI2mIALQ?t=3943,???????
https://youtu.be/7rMDI2mIALQ?t=4014,https://youtu.be/7rMDI2mIALQ?t=6429,??????????????????????????????????????????????????????????
https://youtu.be/7rMDI2mIALQ?t=4765,https://youtu.be/7rMDI2mIALQ?t=4769,???????
https://youtu.be/7rMDI2mIALQ?t=4813,https://youtu.be/7rMDI2mIALQ?t=4814,???????
https://youtu.be/7rMDI2mIALQ?t=4849,https://youtu.be/7rMDI2mIALQ?t=4861,???????
https://youtu.be/7rMDI2mIALQ?t=5166,https://youtu.be/7rMDI2mIALQ?t=5234,???????????????????????
https://youtu.be/7rMDI2mIALQ?t=5382,https://youtu.be/7rMDI2mIALQ?t=5524,????
https://youtu.be/7rMDI2mIALQ?t=6060,https://youtu.be/7rMDI2mIALQ?t=6062,???????????
https://youtu.be/7rMDI2mIALQ?t=6087,https://youtu.be/7rMDI2mIALQ?t=6090,???????
https://youtu.be/7rMDI2mIALQ?t=6286,https://youtu.be/7rMDI2mIALQ?t=6367,???????????????????????
https://youtu.be/7rMDI2mIALQ?t=6429,https://youtu.be/7rMDI2mIALQ?t=7232,??????????????????????????????????????????????????????????
https://youtu.be/7rMDI2mIALQ?t=6970,https://youtu.be/7rMDI2mIALQ?t=7019,???????
