frame,BLJ_label,LBLJ_label,SBLJ_label,DDD_skip_label,Bob-omb_clip_label,Cannonless_label,Ship_clip_label,Door_clip_label,Box_TJ_label,BLJ_strat_label,Pillarless_label,Insta_clip_label,Pole_glitch_label,Ground_pound_clipping_label,Ledge_clipping_label,Miscellaneous_wall_clipping_label,Chuckya_clip_label,MIPS_clip_label,Monkey_bug_label
0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
